79,848,6
937,722,3
155,530,0
734,42,8
238,123,2
417,259,4
531,736,10
245,42,1
703,892,3
756,848,1
255,42,5
441,123,4
155,594,8
155,102,4
238,719,2
155,259,1
703,785,2
774,722,6
756,78,2
441,259,1
746,102,1
734,736,10
756,4,10
703,301,7
238,619,7
29,301,4
441,785,5
205,123,2
756,259,6
653,301,1
441,955,8
23,722,6
417,955,5
237,722,0
255,102,8
245,123,0
42,123,6
891,407,8
703,594,8
922,619,4
311,667,10
619,102,0
203,736,3
238,42,6
774,78,2
619,259,10
362,614,3
23,407,7
756,785,7
155,722,7
937,123,7
205,892,3
29,722,7
937,42,7
734,785,8
20,614,7
155,667,7
774,719,0
29,719,9
362,785,5
20,619,2
237,42,0
531,667,8
774,301,7
531,102,10
245,614,0
23,42,9
238,614,10
619,619,5
237,614,2
531,594,4
619,407,2
203,259,7
774,407,8
203,736,0
23,407,3
922,619,1
255,123,5
774,4,9
205,736,1
774,530,3
205,848,6
23,719,10
922,594,3
619,667,10
52,407,0
311,848,6
42,955,9
937,614,1
155,594,0
937,722,3
237,78,6
255,614,9
774,722,7
417,78,5
653,530,2
